model,seed,chd_auc,chd_auprc,macro_auc,macro_auprc,test_set_used
moment_small,2026,0.722091678788557,0.2991014530187643,0.7031550227074417,0.2064783026818211,False
moment_small,3407,0.7211778747529,0.2989218432725317,0.7020139170206924,0.20560997490233507,False
moment_small,42,0.7219549190009076,0.2984282851694421,0.7014172591959964,0.2041091917513873,False
normwear,2026,0.7206059701863663,0.2835201033341168,0.7123841084080098,0.21429162957133957,False
normwear,3407,0.7173423843447342,0.28152478826851374,0.7120319602858707,0.21327345338212703,False
normwear,42,0.7175226586102718,0.28284214692352105,0.7124980942154129,0.21363994917917214,False
papagei_s,2026,0.6999490258973307,0.25744548901839825,0.6704754647840102,0.18313555639666113,False
papagei_s,3407,0.7062088943592805,0.2575091083217031,0.6810299367006463,0.18974053493888457,False
papagei_s,42,0.6991408998794026,0.2632827734369675,0.688700358680824,0.19333721722243455,False
units_x128,2026,0.7195989208409483,0.2824618591694866,0.700670396420427,0.19251580482867214,False
units_x128,3407,0.7217559956734175,0.2770555518477533,0.6996007128727232,0.19026317973645437,False
units_x128,42,0.7206121865403504,0.2796813938146381,0.6940388386061178,0.19327796335071667,False
